HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458550.76759,2019-03-08.2647309,bE,1.60,16.614,13.784,0.016,11.129,0.167,g
2458550.76885,2019-03-08.2659944,bE,1.65,16.634,13.786,0.016,11.107,0.164,g
2458551.76603,2019-03-09.2632052,bi,1.48,16.461,13.799,0.019,10.974,0.192,g
2458551.76725,2019-03-09.2644209,bi,1.47,16.473,13.824,0.019,10.720,0.190,g
2458551.76849,2019-03-09.2656531,bi,1.47,16.482,13.799,0.018,10.974,0.188,g
2458552.76509,2019-03-10.2622826,bi,1.41,16.531,13.778,0.017,11.199,0.180,g
2458552.76631,2019-03-10.2635019,bi,1.38,16.495,13.768,0.018,11.295,0.186,g
2458552.76752,2019-03-10.2647178,bi,1.44,16.545,13.784,0.017,11.124,0.178,g
2458553.55416,2019-03-11.0513769,bE,1.45,16.694,13.786,0.015,11.113,0.154,g
2458553.55542,2019-03-11.0526383,bE,1.46,16.686,13.785,0.015,11.115,0.156,g
2458553.55670,2019-03-11.0539152,bE,1.52,16.665,13.783,0.015,11.135,0.159,g
2458554.64600,2019-03-12.1432437,bE,1.42,16.686,13.789,0.015,11.071,0.157,g
2458554.64727,2019-03-12.1445128,bE,1.45,16.699,13.773,0.015,11.244,0.153,g
2458554.64854,2019-03-12.1457800,bE,1.45,16.736,13.804,0.015,10.933,0.149,g
2458555.68712,2019-03-13.1843876,bi,1.36,16.590,13.803,0.017,10.941,0.170,g
2458555.68834,2019-03-13.1856064,bi,1.40,16.599,13.818,0.017,10.783,0.168,g
2458555.68957,2019-03-13.1868373,bi,1.46,16.622,13.823,0.017,10.739,0.165,g
2458556.70153,2019-03-14.1988230,bi,1.42,16.599,13.782,0.016,11.151,0.169,g
2458556.70276,2019-03-14.2000590,bi,1.43,16.583,13.803,0.017,10.935,0.172,g
2458556.70398,2019-03-14.2012759,bi,1.42,16.614,13.792,0.016,11.047,0.167,g
2458558.74125,2019-03-16.2386045,bi,1.46,16.519,13.803,0.018,10.934,0.181,g
2458558.74248,2019-03-16.2398423,bi,1.42,16.493,13.781,0.018,11.156,0.186,g
2458558.74370,2019-03-16.2410579,bi,1.44,16.492,13.795,0.018,11.009,0.186,g
2458559.55695,2019-03-17.0543253,bi,1.39,16.430,13.813,0.020,10.832,0.196,g
2458559.55817,2019-03-17.0555458,bi,1.48,16.396,13.807,0.020,10.892,0.203,g
2458559.55938,2019-03-17.0567637,bi,1.46,16.344,13.809,0.021,10.870,0.212,g
2458561.52539,2019-03-19.0228392,bi,1.45,16.233,13.777,0.023,11.199,0.236,g
2458561.52661,2019-03-19.0240550,bi,1.43,16.273,13.781,0.022,11.157,0.227,g
2458561.52782,2019-03-19.0252728,bi,1.43,16.161,13.749,0.024,11.501,0.251,g
2458561.73404,2019-03-19.2314931,bi,1.51,16.076,13.818,0.027,10.785,0.271,g
2458561.73527,2019-03-19.2327122,bi,1.43,15.930,13.831,0.032,10.660,0.310,g
2458561.73648,2019-03-19.2339289,bi,1.41,15.985,13.830,0.030,10.665,0.295,g
2458562.62745,2019-03-20.1249287,bE,1.49,16.203,13.817,0.024,10.800,0.241,g
2458562.62872,2019-03-20.1261957,bE,1.45,16.205,13.819,0.024,10.780,0.241,g
2458562.63004,2019-03-20.1275172,bE,1.54,16.121,13.757,0.025,11.415,0.261,g
2458563.66477,2019-03-21.1622775,bi,1.45,15.802,13.800,0.035,10.962,0.348,g
2458563.66598,2019-03-21.1634898,bi,1.40,15.800,13.742,0.033,11.559,0.349,g
2458563.66721,2019-03-21.1647140,bi,1.39,15.846,13.772,0.032,11.244,0.335,g
2458564.66751,2019-03-22.1650537,bi,1.49,16.080,13.834,0.028,10.633,0.270,g
2458564.66872,2019-03-22.1662671,bi,1.39,16.059,13.747,0.026,11.507,0.276,g
2458564.66994,2019-03-22.1674851,bi,1.45,16.009,13.792,0.028,11.042,0.289,g
2458565.54755,2019-03-23.0451238,bi,1.48,16.359,13.784,0.020,11.132,0.209,g
