HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459508.77623,2021-10-21.2776280,bE,1.52,16.654,15.214,0.058,2.981,0.158,g
2459509.77813,2021-10-22.2794798,bE,1.50,16.809,15.240,0.051,2.912,0.137,g
2459510.76500,2021-10-23.2662944,bE,1.57,16.794,15.328,0.056,2.685,0.139,g
2459511.76391,2021-10-24.2651486,bE,1.49,16.712,15.865,0.100,1.637,0.150,g
2459513.77610,2021-10-26.2772377,bE,1.52,16.957,14.894,0.033,4.002,0.120,g
2459518.77929,2021-10-31.2801462,bE,1.46,17.195,14.457,0.017,5.986,0.096,g
2459519.78377,2021-11-01.2845765,bE,1.51,17.129,14.637,0.022,5.070,0.102,g
2459521.83196,2021-11-03.3326521,bE,1.50,16.927,15.400,0.053,2.512,0.123,g
2459522.80562,2021-11-04.3062563,bE,1.51,16.967,15.226,0.044,2.949,0.119,g
2459523.79918,2021-11-05.2997603,bi,1.45,16.929,14.989,0.036,3.667,0.123,g
2459525.47837,2021-11-06.9788508,bm,1.50,17.087,14.588,0.022,5.305,0.106,g
2459527.73998,2021-11-09.2403309,bE,1.48,17.030,14.851,0.029,4.166,0.112,g
2459528.72767,2021-11-10.2279719,bE,1.47,17.042,14.925,0.031,3.890,0.111,g
2459528.79166,2021-11-10.2919496,bi,1.40,16.946,14.967,0.035,3.744,0.121,g
2459529.71961,2021-11-11.2198439,bE,1.46,16.955,15.032,0.037,3.526,0.120,g
2459530.73148,2021-11-12.2316539,bE,1.44,16.948,14.954,0.035,3.788,0.121,g
2459531.72366,2021-11-13.2237869,bE,1.44,17.044,14.617,0.023,5.165,0.111,g
2459532.74443,2021-11-14.2445041,bi,1.45,16.773,15.028,0.044,3.540,0.142,g
2459534.71938,2021-11-16.2193256,bE,1.54,16.862,14.744,0.031,4.597,0.131,g
2459535.71391,2021-11-17.2138054,bi,1.48,16.753,14.653,0.031,5.000,0.144,g
2459535.86301,2021-11-17.3628971,bE,1.42,16.601,14.693,0.038,4.816,0.166,g
2459537.70327,2021-11-19.2030531,bE,1.49,16.719,14.948,0.043,3.809,0.149,g
2459538.69367,2021-11-20.1934013,bi,1.47,16.607,15.791,0.102,1.753,0.165,g
2459539.69641,2021-11-21.1960777,bE,1.53,16.744,15.631,0.078,2.031,0.146,g
2459539.74371,2021-11-21.2433805,bi,1.40,16.564,15.898,0.118,1.587,0.172,g
2459540.77490,2021-11-22.2745067,bi,1.40,16.666,15.657,0.086,1.983,0.157,g
2459541.78745,2021-11-23.2869979,bi,1.44,16.523,15.682,0.100,1.937,0.179,g
2459542.78877,2021-11-24.2882637,bi,1.46,16.768,15.390,0.061,2.535,0.142,g
2459543.80554,2021-11-25.3049792,bi,1.45,16.783,15.608,0.074,2.075,0.141,g
2459544.82443,2021-11-26.3237997,bi,1.48,16.792,15.512,0.067,2.267,0.139,g
2459546.66454,2021-11-28.1638099,bE,1.42,16.950,15.255,0.046,2.871,0.121,g
2459549.53642,2021-12-01.0355337,bm,1.55,16.809,15.514,0.066,2.262,0.137,g
2459549.67455,2021-12-01.1736685,bi,1.41,16.828,15.402,0.058,2.508,0.135,g
2459549.69044,2021-12-01.1895478,bE,1.48,16.916,15.380,0.053,2.558,0.124,g
2459550.69048,2021-12-02.1895224,bi,1.45,16.961,14.999,0.036,3.635,0.119,g
2459551.74766,2021-12-03.2466430,bi,1.47,16.907,15.294,0.049,2.770,0.125,g
2459555.64589,2021-12-07.1446736,bE,1.48,17.120,14.591,0.021,5.290,0.103,g
2459557.65113,2021-12-09.1497972,bE,1.56,17.358,14.269,0.013,7.121,0.083,g
