###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
58103.525259  13.500  0.003 14459   41 o  0 972.42 123.84754 -38.98983  8151.56  7204.03 4.07 2.99 -86.9 -0.409 18.97 20.63 01a58103o0602o
58103.532594  13.508  0.003 14351   41 o  0 871.25 123.84754 -38.98983  8160.96  7059.47 4.11 3.07 -89.7 -0.405 18.92 20.63 01a58103o0618o
58109.489225 -17.173  0.029  -490   14 c  0 141.74 123.84754 -38.98983  1231.87  2806.11 4.54 3.84  66.6 -0.517 19.15 21.73 02a58109o0273c
58109.490139  19.768  0.333    45   15 c  0 161.72 123.84754 -38.98983  1261.82  2844.63 4.93 4.38  45.6 -0.396 19.04 21.72 02a58109o0275c
58109.495160 -18.016  0.079  -226   18 c  0 122.64 123.84754 -38.98983  1200.11  2768.91 4.78 4.25  43.1 -0.460 19.05 21.75 02a58109o0286c
58109.503400 -17.309  0.036  -433   16 c  0 152.17 123.84754 -38.98983  1182.84  2886.52 4.26 3.52  70.8 -0.632 19.06 21.75 02a58109o0304c
58111.488617  13.470  0.003 14858   42 o  0 627.55 123.84754 -38.98983  5985.17  6031.92 3.98 3.30  85.9 -0.403 18.82 20.49 01a58111o0656o
58111.489991  13.482  0.003 14693   42 o  0 757.16 123.84754 -38.98983  5968.30  5988.14 3.88 3.15  88.1 -0.424 18.91 20.49 01a58111o0659o
58111.501717  13.481  0.003 14710   41 o  0 831.00 123.84754 -38.98983  6018.63  6021.99 3.85 3.17  87.3 -0.408 18.91 20.61 01a58111o0684o
58111.512710  13.481  0.003 14714   41 o  0 762.91 123.84754 -38.98983  6025.18  5864.53 3.92 3.22  88.4 -0.410 18.95 20.66 01a58111o0708o
58115.482590  13.414  0.003 15641   47 o  0 207.45 123.84754 -38.98983  8305.15  6442.40 4.32 3.77 -81.4 -0.386 18.61 20.07 01a58115o0653o
58115.483507  13.464  0.003 14938   44 o  0 427.02 123.84754 -38.98983  8334.59  6476.96 4.19 3.31 -88.2 -0.402 18.65 20.07 01a58115o0655o
58115.495499  13.378  0.003 16171   47 o  0 109.94 123.84754 -38.98983  8356.13  6470.21 4.83 4.42 -15.5 -0.357 18.53 20.20 01a58115o0680o
58115.499620  13.395  0.003 15928   46 o  0 177.74 123.84754 -38.98983  8366.53  6337.93 4.35 4.18 -61.3 -0.382 18.63 20.27 01a58115o0689o
58117.496657  13.615  0.004 12998   52 o  0 1162.55 123.84754 -38.98983  6400.00  8106.80 2.06 1.90  29.5 -0.524 18.79 19.28 02a58117o0335o
58117.506252  13.590  0.004 13305   50 o  0 1511.58 123.84754 -38.98983  6386.81  8067.56 2.07 1.91  29.8 -0.535 18.78 19.31 02a58117o0356o
58117.519394  13.632  0.004 12797   48 o  0 1744.47 123.84754 -38.98983  6447.84  8141.38 2.05 1.91  29.9 -0.520 18.77 19.33 02a58117o0384o
58117.527154  13.635  0.004 12762   49 o  0 1714.73 123.84754 -38.98983  6464.21  8024.19 2.05 1.94  38.0 -0.528 18.77 19.33 02a58117o0401o
58119.480713  13.449  0.005 15150   76 o  0  54.35 123.84754 -38.98983  9226.42  8537.46 4.15 3.08 -85.1 -0.387 17.97 18.85 01a58119o0630o
